geoid,district_name,county,graduation_rate_pct,ela_proficiency_pct,math_proficiency_pct,chronic_absenteeism_pct,pupil_expenditure,source_year
2607800,Capac Community School District,St. Clair,87,39,23,,11684,2020-21
2607890,Carman-Ainsworth Community School District,Genesee,83,28,12,,11130,2020-21
2608010,Carney-Nadeau Public Schools,Menominee,54,37,22,,11242,2020-21
2608040,Caro Community Schools,Tuscola,87,36,22,,11482,2020-21
2608070,Carrollton School District,Saginaw,82,26,9,,13204,2020-21
2608130,Carson City-Crystal Area School District,Montcalm,72,27,17,,10117,2020-21
2608160,Carsonville-Port Sanilac School District,Sanilac,69,42,27,,12060,2020-21
2608280,Caseville Public Schools,Huron,90,32,8,,12790,2020-21
2608400,Cass City Public Schools,Tuscola,92,56,37,,11220,2020-21
2608430,Cassopolis Public Schools,Cass,72,29,14,,12376,2020-21
2608520,Cedar Springs Public Schools,Kent,84,48,35,,11209,2020-21
2608580,Center Line Public Schools,Macomb,77,29,14,,13971,2020-21
2608610,Central Lake Public Schools,Antrim,90,32,22,,13769,2020-21
2608640,Central Montcalm Public Schools,Montcalm,87,38,21,,11594,2020-21
2608670,Centreville Public Schools,St. Joseph,92,44,29,,10768,2020-21
2608730,Charlevoix Public Schools,Charlevoix,97,55,44,,14009,2020-21
2608770,Charlotte Public Schools,Eaton,87,40,31,,10489,2020-21
2608880,Chassell Township School District,Houghton,69,47,42,,,2020-21
2608910,Cheboygan Area Schools,Cheboygan,87,43,27,,10921,2020-21
2608940,Chelsea School District,Washtenaw,99,57,53,,13499,2020-21
2609150,Chesaning Union Schools,Saginaw,87,48,41,,11015,2020-21
2609560,Chippewa Hills School District,Mecosta,77,42,24,,11172,2020-21
2609570,Chippewa Valley Schools,Macomb,93,50,39,,11752,2020-21
2609750,Clare Public Schools,Clare,82,45,27,,10633,2020-21
2609840,Clarenceville School District,Wayne,87,33,18,,11127,2020-21
2609900,Clarkston Community School District,Oakland,90,58,48,,12961,2020-21
2609930,Clawson City School District,Oakland,82,55,33,,12849,2020-21
2610020,Climax-Scotts Community School District,Kalamazoo,74,39,19,,11896,2020-21
2610050,Clinton Community Schools,Lenawee,97,51,38,,10641,2020-21
2610080,Clintondale Community Schools,Macomb,41,20,7,,11336,2020-21
2610110,Clio Area School District,Genesee,84,44,27,,10737,2020-21
2610140,Coldwater Community Schools,Branch,87,37,26,,11149,2020-21
2610200,Coleman Community School District,Midland,95,39,16,,11895,2020-21
2610380,Coloma Community Schools,Berrien,87,39,17,,12722,2020-21
2610410,Colon Community School District,St. Joseph,84,28,17,,10858,2020-21
2610560,Fairview Area School District,Oscoda,69,57,37,,11572,2020-21
2610590,Comstock Public Schools,Kalamazoo,52,32,18,,13300,2020-21
2610620,Comstock Park Public Schools,Kent,97,46,34,,11448,2020-21
2610650,Concord Community Schools,Jackson,97,41,23,,12123,2020-21
2610750,Constantine Public School District,St. Joseph,72,34,18,,10505,2020-21
2610830,Coopersville Public School District,Ottawa,97,46,36,,11558,2020-21
2610860,Corunna Public School District,Shiawassee,92,40,24,,11824,2020-21
2610980,Covert Public Schools,Van Buren,69,27,8,,16074,2020-21
2611030,Crawford AuSable Schools,Crawford,82,50,43,,11053,2020-21
2611140,Croswell-Lexington Community School District,Sanilac,87,47,30,,10630,2020-21
2611190,Forest Park School District,Iron,90,39,27,,11614,2020-21
2611400,Dansville Schools,Ingham,95,51,26,,9723,2020-21
2611430,Davison Community Schools,Genesee,89,57,40,,10694,2020-21
2611550,DeWitt Public Schools,Clinton,98,60,51,,10186,2020-21
2611600,Dearborn City School District,Wayne,95,39,26,,13709,2020-21
2611610,Dearborn Heights School District 7,Wayne,77,26,13,,11345,2020-21
2611640,Westwood Community Schools,Wayne,52,11,6,,14828,2020-21
2611670,Decatur Public Schools,Van Buren,84,37,21,,11392,2020-21
2611700,Deckerville Community School District,Sanilac,95,40,35,,12855,2020-21
2611910,Delton-Kellogg School District,Barry,72,40,27,,11576,2020-21
2611970,DeTour Area Schools,Chippewa,75,70,70,,39409,2020-21
2612030,Dexter Community School District,Washtenaw,97,63,54,,13245,2020-21
2612150,Dowagiac Union Schools,Cass,77,31,19,,11041,2020-21
2612240,Dryden Community Schools,Lapeer,95,37,27,,10304,2020-21
2612300,Dundee Community Schools,Monroe,92,57,42,,11094,2020-21
2612330,Durand Area Schools,Shiawassee,92,38,17,,11066,2020-21
2612420,East China School District,St. Clair,94,46,32,,11404,2020-21
2612450,Eastpointe Community Schools,Macomb,69,11,3,,12340,2020-21
2612480,East Grand Rapids Public School District,Kent,96,79,65,,11153,2020-21
2612540,East Jackson Community Schools,Jackson,72,29,9,,14485,2020-21
2612560,East Jordan Public Schools,Charlevoix,87,49,37,,13514,2020-21
2612600,East Lansing School District,Ingham,91,73,50,,10857,2020-21
2612690,Eaton Rapids Public Schools,Eaton,82,42,22,,11755,2020-21
2612810,Eau Claire Public Schools,Berrien,64,20,9,,12626,2020-21
2612930,Ecorse Public School District,Wayne,52,7,3,,14383,2020-21
2612960,Montabella Community Schools,Montcalm,77,36,20,,12148,2020-21
2612990,Edwardsburg Public Schools,Cass,92,66,51,,9995,2020-21
2613050,Elk Rapids Schools,Antrim,87,65,47,,10406,2020-21
2613090,Elkton-Pigeon-Bay Port Schools,Huron,95,47,31,,12807,2020-21
2613110,Ellsworth Community Schools,Antrim,90,47,32,,12470,2020-21
2613500,Escanaba Area Public Schools,Delta,90,46,31,,11124,2020-21
2613530,Essexville-Hampton Public Schools,Bay,87,49,29,,10914,2020-21
2613560,Evart Public Schools,Osceola,82,34,27,,12237,2020-21
2614070,Farmington Public School District,Oakland,93,58,45,,14593,2020-21
2614100,Farwell Area Schools,Clare,82,34,24,,11555,2020-21
2614230,Fennville Public Schools,Allegan,82,32,18,,12059,2020-21
2614250,Fenton Area Public Schools,Genesee,87,57,38,,10760,2020-21
2614280,Ferndale Public Schools,Oakland,76,39,18,,12327,2020-21
2614460,Fitzgerald Public Schools,Macomb,79,23,8,,13478,2020-21
2614520,Flint City School District,Genesee,52,8,LE1,,20637,2020-21
2614550,Flushing Community Schools,Genesee,87,41,25,,10752,2020-21
2614570,Forest Area Community Schools,Kalkaska,74,31,16,,11823,2020-21
2614610,Forest Hills Public Schools,Kent,96,74,65,,11828,2020-21
2614690,Gwinn Area Community Schools,Marquette,84,30,16,,12533,2020-21
2614700,Fowler Public Schools,Clinton,95,69,58,,11247,2020-21
2614730,Fowlerville Community Schools,Livingston,84,42,30,,10809,2020-21
2614760,Frankenmuth School District,Saginaw,97,60,48,,10021,2020-21
2614790,Frankfort-Elberta Area Schools,Benzie,95,57,57,,16881,2020-21
2614820,Fraser Public Schools,Macomb,95,43,31,,12377,2020-21
2615060,Freeland Community School District,Saginaw,92,61,54,,9660,2020-21
2615150,Fremont Public School District,Newaygo,82,45,34,,11378,2020-21
2615390,Fruitport Community Schools,Muskegon,89,44,29,,12359,2020-21
2615420,Fulton Schools,Gratiot,57,42,12,,11466,2020-21
2615450,Galesburg-Augusta Community School District,Kalamazoo,72,41,24,,13728,2020-21
2615540,Garden City School District,Wayne,74,36,22,,16594,2020-21
2615600,Engadine Consolidated Schools,Mackinac,52,32,22,,12229,2020-21
2615730,Gaylord Community Schools,Otsego,83,53,43,,11887,2020-21
2615750,Genesee School District,Genesee,95,28,14,,10317,2020-21
2615830,Roscommon Area Public Schools,Roscommon,95,44,30,,14228,2020-21
2615870,Gibraltar School District,Wayne,89,46,29,,11185,2020-21
2615970,Gladstone Area Schools,Delta,82,45,32,,10228,2020-21
2615990,Gladwin Community Schools,Gladwin,87,51,28,,11674,2020-21
2616020,Glen Lake Community Schools,Leelanau,95,56,47,,19280,2020-21
2616050,Gobles Public School District,Van Buren,84,50,34,,12116,2020-21
2616080,Godfrey-Lee Public Schools,Kent,87,27,9,,11573,2020-21
2616110,Godwin Heights Public Schools,Kent,87,34,10,,13704,2020-21
2616320,Goodrich Area Schools,Genesee,97,56,46,,11216,2020-21
2616350,Grand Blanc Community Schools,Genesee,89,54,33,,10556,2020-21
2616380,Grand Haven Area Public Schools,Ottawa,87,68,52,,12929,2020-21
2616410,Grand Ledge Public Schools,Eaton,96,54,36,,10539,2020-21
2616440,Grand Rapids Public Schools,Kent,81,29,15,,14164,2020-21
2616470,Grandville Public Schools,Kent,96,61,49,,11566,2020-21
2616500,Grant Public School District,Newaygo,82,40,23,,10992,2020-21
2616830,Grass Lake Community Schools,Jackson,92,49,37,,11189,2020-21
2617160,Greenville Public Schools,Montcalm,90,52,35,,10931,2020-21
2617220,Grosse Ile Township Schools,Wayne,97,64,50,,12362,2020-21
2617250,Gull Lake Community Schools,Kalamazoo,87,59,40,,12490,2020-21
2617370,Hale Area Schools,Iosco,90,37,27,,14119,2020-21
2617400,Hamilton Community Schools,Allegan,89,55,44,,12288,2020-21
2617520,Hamtramck Public Schools,Wayne,80,17,9,,12895,2020-21
2617550,Hancock Public Schools,Houghton,84,57,53,,11722,2020-21
2617640,Hanover-Horton Schools,Jackson,92,50,29,,10730,2020-21
2617700,Harbor Springs School District,Emmet,97,58,41,,17365,2020-21
2617730,Harper Creek Community Schools,Calhoun,97,40,25,,11558,2020-21
2617760,Harper Woods City Schools,Wayne,63,15,4,,11890,2020-21
2617820,Harrison Community Schools,Clare,72,28,17,,12447,2020-21
2617860,Hart Public School District,Oceana,87,38,18,,11649,2020-21
2617880,Hartford Public School District,Van Buren,77,26,14,,10726,2020-21
2617910,Hartland Consolidated Schools,Livingston,96,62,52,,9914,2020-21
2617940,Haslett Public Schools,Ingham,95,63,55,,12277,2020-21
2617970,Hastings Area School District,Barry,74,48,33,,10074,2020-21
2618030,Hazel Park City School District,Oakland,43,24,10,,15671,2020-21
2618180,Hemlock Public School District,Saginaw,67,47,33,,10395,2020-21
2618270,Hesperia Community Schools,Newaygo,82,27,16,,12346,2020-21
2618330,Highland Park City Schools,Wayne,,,,,,2020-21
2618360,Hillman Community Schools,Montmorency,64,40,22,,11380,2020-21
2618390,Hillsdale Community Schools,Hillsdale,87,38,26,,11445,2020-21
2618420,Holland City School District,Ottawa,86,43,26,,13790,2020-21
2618450,Holly Area School District,Oakland,90,52,31,,12425,2020-21
2618480,Holt Public Schools,Ingham,84,46,28,,11680,2020-21
2618510,Holton Public Schools,Muskegon,82,32,19,,11888,2020-21
2618540,Homer Community Schools,Calhoun,92,29,18,,10970,2020-21
2618570,Hopkins Public Schools,Allegan,97,51,48,,10988,2020-21
2618600,Houghton Lake Community School District,Roscommon,62,36,18,,12121,2020-21
2618720,Howell Public Schools,Livingston,91,52,41,,10656,2020-21
2618810,Hudson Area Schools,Lenawee,67,33,18,,11133,2020-21
2618840,Hudsonville Public School District,Ottawa,97,70,55,,11560,2020-21
2618930,Huron School District,Wayne,94,46,37,,11927,2020-21
2618990,Huron Valley Schools,Oakland,92,56,42,,12182,2020-21
2619050,Ida Public School District,Monroe,97,55,39,,10800,2020-21
2619100,Imlay City Community Schools,Lapeer,97,47,31,,11159,2020-21
2619170,Inland Lakes Schools,Cheboygan,95,34,23,,13203,2020-21
2619250,Ionia Public Schools,Ionia,72,39,23,,10454,2020-21
2619410,Iron Mountain Public Schools,Dickinson,67,44,24,,10629,2020-21
2619470,Ironwood Area Schools,Gogebic,77,40,23,,11699,2020-21
2619530,Ishpeming Public School District,Marquette,87,47,28,,11948,2020-21
2619580,Ithaca Public Schools,Gratiot,92,48,31,,10920,2020-21
2619620,Jackson Public Schools,Jackson,72,28,15,,12367,2020-21
2619800,Jefferson Schools,Monroe,82,38,19,,11684,2020-21
2619830,Jenison Public Schools,Ottawa,97,66,57,,12364,2020-21
2619890,Johannesburg-Lewiston Area School District,Otsego,95,42,33,,11874,2020-21
2619920,Jonesville Community Schools,Hillsdale,92,40,29,,11321,2020-21
2619950,Kalamazoo Public School District,Kalamazoo,76,72,43,,12689,2020-21
2620010,Kaleva Norman Dickson School District,Manistee,84,34,18,,11020,2020-21
2620050,Kalkaska Public Schools,Kalkaska,72,38,24,,12926,2020-21
2620070,Kearsley Community Schools,Genesee,80,38,24,,10869,2020-21
2620160,Kelloggsville Public Schools,Kent,82,32,9,,12426,2020-21
2620280,Kenowa Hills Public Schools,Kent,91,46,33,,12207,2020-21
2620310,Kent City Community Schools,Kent,92,38,30,,12122,2020-21
2620340,Kentwood Public Schools,Kent,84,46,34,,11950,2020-21
2620380,Kingsley Area Schools,Grand Traverse,92,65,46,,10888,2020-21
2620400,Kingston Community School District,Tuscola,84,49,39,,10146,2020-21
2620550,Laingsburg Community School District,Shiawassee,92,55,32,,9508,2020-21
2620610,Lake City Area School District,Missaukee,82,39,33,,11491,2020-21
2620670,Lake Fenton Community Schools,Genesee,97,52,40,,10293,2020-21
2620700,Lake Linden-Hubbell School District,Houghton,95,42,37,,11837,2020-21
2620730,Lake Orion Community Schools,Oakland,96,64,49,,13083,2020-21
2620820,Lakeshore School District,Berrien,92,65,56,,10708,2020-21
2620850,Lakeview School District,Calhoun,90,40,28,,10696,2020-21
2620880,Lakeview Public Schools,Macomb,95,51,32,,11915,2020-21
2620910,Lakeview Community Schools,Montcalm,87,44,28,,12057,2020-21
2620940,Lakeville Community Schools,Genesee,82,30,18,,11348,2020-21
2620980,Lakewood Public Schools,Barry,92,49,34,,11127,2020-21
2621120,Lamphere Public Schools,Oakland,87,49,28,,15289,2020-21
2621150,Lansing Public School District,Ingham,69,37,12,,15882,2020-21
2621180,Lapeer Community Schools,Lapeer,80,49,31,,11555,2020-21
2621210,Lawrence Public School District,Van Buren,95,36,22,,12649,2020-21
2621240,Lawton Community School District,Van Buren,87,45,27,,10706,2020-21
2621390,Leland Public School District,Leelanau,84,53,50,,15285,2020-21
2621420,Les Cheneaux Community Schools,Mackinac,75,52,47,,16000,2020-21
2621450,Leslie Public Schools,Ingham,82,39,23,,13272,2020-21
2621570,Lincoln Consolidated School District,Washtenaw,84,33,17,,12934,2020-21
2621600,Lincoln Park Public Schools,Wayne,81,32,15,,16167,2020-21
2621690,Linden Community Schools,Genesee,96,54,38,,10557,2020-21
2621750,Litchfield Community Schools,Hillsdale,90,17,LE5,,13121,2020-21
2621810,Alanson Public Schools,Emmet,69,37,27,,13390,2020-21
2621840,Livonia Public Schools,Wayne,94,59,46,,13848,2020-21
2621870,L'Anse Creuse Public Schools,Macomb,90,51,31,,11688,2020-21
2622050,Lowell Area Schools,Kent,93,64,51,,11060,2020-21
2622200,Ludington Area School District,Mason,92,50,37,,11678,2020-21
2622230,Mackinac Island Public Schools,Mackinac,,54,34,,30542,2020-21
2622260,Mackinaw City Public Schools,Emmet,75,47,27,,20933,2020-21
2622290,Madison Public Schools,Oakland,82,21,9,,15163,2020-21
2622320,Madison School District,Lenawee,87,51,34,,11831,2020-21
2622350,Mancelona Public Schools,Antrim,87,41,28,,12438,2020-21
2622380,Manchester Community Schools,Washtenaw,97,46,37,,11760,2020-21
2622410,Manistee Area Schools,Manistee,82,38,33,,11223,2020-21
2622470,Manistique Area Schools,Schoolcraft,95,42,29,,12469,2020-21
2622500,Manton Consolidated Schools,Wexford,92,43,27,,11253,2020-21
2622620,Maple Valley Schools,Eaton,87,36,27,,12088,2020-21
2622740,Marcellus Community Schools,Cass,95,38,25,,12528,2020-21
2622800,Marion Public Schools,Osceola,69,47,27,,13890,2020-21
2622860,Marlette Community Schools,Sanilac,95,55,38,,11288,2020-21
2622970,Marshall Public Schools,Calhoun,76,44,28,,12247,2020-21
2622980,Martin Public Schools,Allegan,95,43,24,,10510,2020-21
2623040,Marysville Public Schools,St. Clair,97,53,42,,9121,2020-21
2623070,Mason Public Schools,Ingham,93,57,44,,11095,2020-21
2623100,Mason Consolidated Schools,Monroe,92,49,38,,10759,2020-21
2623130,Mason County Central Schools,Mason,92,39,24,,10633,2020-21
2623160,Mason County Eastern District,Mason,90,42,27,,11059,2020-21
2623250,Mattawan Consolidated School,Van Buren,94,62,51,,10221,2020-21
2623280,Mayville Community School District,Tuscola,64,33,27,,10469,2020-21
2623310,McBain Rural Agricultural Schools,Missaukee,92,54,43,,11058,2020-21
2623460,Melvindale-North Allen Park School District,Wayne,88,16,7,,12025,2020-21
2623490,Memphis Community Schools,Macomb,95,52,34,,12166,2020-21
2623520,Mendon Community School District,St. Joseph,84,31,15,,10227,2020-21
2623550,Menominee Area Public Schools,Menominee,97,42,26,,11318,2020-21
2623580,Meridian Public Schools,Midland,92,47,30,,11578,2020-21
2623610,Merrill Community Schools,Saginaw,84,32,19,,10932,2020-21
2623670,Mesick Consolidated Schools,Wexford,84,47,25,,12473,2020-21
2623790,Michigan Center School District,Jackson,97,37,19,,11607,2020-21
2623820,Midland Public Schools,Midland,91,64,49,,11853,2020-21
2623830,Mid Peninsula School District,Delta,75,12,LE5,,11753,2020-21
2623850,Milan Area Schools,Monroe,88,42,31,,12159,2020-21
2623910,Millington Community Schools,Tuscola,92,37,23,,10753,2020-21
2624000,Mio-AuSable Schools,Oscoda,84,33,31,,13748,2020-21
2624120,Mona Shores Public School District,Muskegon,95,48,30,,11674,2020-21
2624150,Monroe Public Schools,Monroe,86,47,24,,11361,2020-21
2624180,Montague Area Public Schools,Muskegon,87,40,38,,12233,2020-21
2624420,Montrose Community Schools,Genesee,77,41,27,,11204,2020-21
2624570,Morenci Area Schools,Lenawee,84,43,28,,11960,2020-21
2624600,Morley Stanwood Community Schools,Mecosta,92,33,24,,12590,2020-21
2624630,Morrice Area Schools,Shiawassee,84,43,20,,11622,2020-21
2624690,Mount Clemens Community School District,Macomb,64,11,4,,15998,2020-21
2624720,Mount Morris Consolidated School District,Genesee,52,19,7,,12070,2020-21
2624750,Mount Pleasant City School District,Isabella,74,48,33,,12637,2020-21
2624810,Munising Public Schools,Alger,95,49,28,,12646,2020-21
2624840,Muskegon City School District,Muskegon,82,12,4,,13199,2020-21
2624870,Muskegon Heights School District,Muskegon,,,,,,2020-21
2624960,Napoleon Community Schools,Jackson,87,48,28,,10294,2020-21
2625020,Negaunee Public Schools,Marquette,97,58,41,,11612,2020-21
2625140,New Buffalo Area School District,Berrien,84,64,58,,26109,2020-21
2625230,New Haven Community Schools,Macomb,82,39,25,,11195,2020-21
2625290,New Lothrop Area Public School,Shiawassee,97,58,42,,10526,2020-21
2625320,Newaygo Public School District,Newaygo,97,40,23,,11018,2020-21
2625350,Tahquamenon Area Schools,Luce,84,37,23,,12541,2020-21
2625400,N.I.C.E. Community Schools,Marquette,97,53,35,,12907,2020-21
2625560,Niles Community School District,Berrien,72,43,33,,11846,2020-21
2625650,North Adams-Jerome Schools,Hillsdale,75,27,8,,10980,2020-21
2625680,North Branch Area Schools,Lapeer,87,49,37,,9478,2020-21
2625740,Grosse Pointe Public Schools,Wayne,96,68,56,,16350,2020-21
2625780,North Huron School District,Huron,90,37,27,,14561,2020-21
2625800,North Muskegon Public Schools,Muskegon,97,67,52,,11260,2020-21
2625920,Northport Public School District,Leelanau,75,47,27,,29582,2020-21
2625950,Northview Public School District,Kent,88,50,32,,11186,2020-21
2625980,Northville Public Schools,Wayne,97,75,68,,13583,2020-21
2626010,Northwest School District,Jackson,78,41,19,,9947,2020-21
2626040,Norway-Vulcan Area Schools,Dickinson,92,47,51,,11318,2020-21
2626130,Novi Community School District,Oakland,93,72,73,,12531,2020-21
2626190,Oak Park City School District,Oakland,67,15,5,,13809,2020-21
2626220,Oakridge Public Schools,Muskegon,82,40,17,,10833,2020-21
2626280,Okemos Public Schools,Ingham,96,76,60,,11655,2020-21
2626370,Olivet Community Schools,Eaton,92,54,37,,10664,2020-21
2626400,Onaway Area Community School District,Presque Isle,95,40,27,,12254,2020-21
2626490,Onekama Consolidated Schools,Manistee,95,47,37,,12804,2020-21
2626520,Onsted Community Schools,Lenawee,82,48,30,,11012,2020-21
2626550,Ontonagon Area Schools,Ontonagon,90,52,32,,11903,2020-21
2626760,Orchard View Schools,Muskegon,57,25,12,,12421,2020-21
2626940,Dollar Bay-Tamarack City Area Schools,Houghton,90,52,32,,9786,2020-21
2626970,Oscoda Area Schools,Iosco,95,38,31,,11572,2020-21
2627060,Otsego Public Schools,Allegan,92,57,39,,11092,2020-21
2627150,Ovid-Elsie Area Schools,Clinton,92,46,33,,11310,2020-21
2627180,Owendale-Gagetown Area Schools,Huron,75,27,17,,12221,2020-21
2627210,Owosso Public Schools,Shiawassee,86,33,21,,11047,2020-21
2627240,Oxford Area Community Schools,Oakland,92,58,42,,13193,2020-21
2627420,Parchment School District,Kalamazoo,82,36,22,,12384,2020-21
2627660,Paw Paw Public School District,Van Buren,77,55,34,,11015,2020-21
2627690,Peck Community School District,Sanilac,90,27,12,,11138,2020-21
2627720,Pellston Public Schools,Emmet,84,41,25,,14564,2020-21
2627810,Pennfield School District,Calhoun,92,33,18,,11089,2020-21
2627840,Pentwater Public School District,Oceana,90,52,47,,13488,2020-21
2627900,Perry Public School District,Shiawassee,92,43,27,,11516,2020-21
2627930,Public Schools of Petoskey,Emmet,77,64,49,,12087,2020-21
2627960,Pewamo-Westphalia Community School District,Clinton,97,67,57,,11256,2020-21
2628020,Pickford Public Schools,Chippewa,90,42,29,,10582,2020-21
2628140,Pinckney Community Schools,Livingston,88,52,34,,10412,2020-21
2628170,Pinconning Area Schools,Bay,82,45,26,,10846,2020-21
2628200,Pine River Area Schools,Osceola,92,38,22,,11433,2020-21
2628500,Pittsford Area Schools,Hillsdale,84,27,8,,12404,2020-21
2628530,Plainwell Community Schools,Allegan,88,48,30,,10420,2020-21
